,GCcleanPOBlat,GCcleanPOBlon,Unnamed: 0_x,count,cleanPOBtown_x,cleanPOBcnty_x,cleanPOBst_x,GCcleanPOBplace_x,Unnamed: 0_y,ersatz_id,rawPOB,cleanPOBtown_y,cleanPOBcnty_y,cleanPOBst_y,GCcleanPOBprec,GCcleanPOBplace_y
5870,48.112779,-98.8651202,141,141,141,0,141,141,259,260,Devils Lake N Dak,Devils Lake,,North Dakota,town,Devils Lake ND
5871,48.11307410000001,-105.1983149,3,3,3,0,3,3,1238,1239,Poplar Mont,Poplar,,Montana,town,Poplar MT
5872,48.1191353,-96.1811473,21,21,21,0,21,21,1540,1541,Thief River Falls Minn,Thief River Falls,,Minnesota,town,Thief River Falls MN
5873,48.1310253,-100.5801289,2,2,2,0,2,2,19145,19146,Villard N Dak,Villard,,North Dakota,town,Villard ND
5874,48.144156,-97.4700813,11,11,11,0,11,11,3101,3102,Johnstown N Dak,Johnstown,,North Dakota,town,Johnstown ND
5875,48.1469683,-103.6179745,16,16,16,0,16,16,4837,4838,Williston N Dak,Williston,,North Dakota,town,Williston ND
5876,48.1506883,-104.9152744,1,1,1,0,1,1,13047,13048,Brockton Mont,Brockton,,Montana,town,Brockton MT
5877,48.1513804,-97.6442523,33,33,33,0,33,33,216,217,Inkater N Dak,Inkster,,North Dakota,town,Inkster ND
5878,48.1579418,-97.9300646,2,2,2,0,2,2,1085,1086,Dahlen D T,Dahlen,,Dakota Territory,town,Dahlen ND
5879,48.1583353,-98.5520537,2,2,2,0,2,2,16979,16980,Southam D T,Southam,,Dakota Territory,town,Southam ND
5880,48.1604915,-100.6949108,2,2,2,0,2,2,1204,1205,Falsen N Dak,Falsen,,North Dakota,town,Falsen ND
5881,48.1666884,-102.9837951,2,2,2,0,2,2,10483,10484,Hofflund N Dak,Hofflund,,North Dakota,town,Hofflund North Dakota
5882,48.16972310000001,-98.9842947,7,7,7,0,7,7,2882,2883,Grand Harbor N Dak,Grand Harbor,,North Dakota,town,Grand Harbor ND
5883,48.1753135,-2.2130304,1,1,0,1,1,1,8876,8877,Ill et Vilsine France,,Ille et Vilaine,France,county,Ille et Vilaine France
5884,48.1824994,-99.3240238,17,17,17,0,17,17,1472,1473,Brinsmade N Dak,Brinsmade,,North Dakota,town,Brinsmade ND
5885,48.1919889,-114.3168131,5,5,5,0,5,5,2533,2534,Kalispel1 Mont,Kalispell,,Montana,town,Kalispell MT
5886,48.1941477,-96.9961813,2,2,2,0,2,2,2848,2849,Alvarado Minn,Alvarado,,Minnesota,town,Alvarado MN
5887,48.1952614,-97.1320169,1,1,1,0,1,1,3868,3869,Oslo Minn,Oslo,,Minnesota,town,Oslo MN
5888,48.19664210000001,-96.7728401,10,10,10,0,10,10,1798,1799,Warren Minn,Warren,,Minnesota,town,Warren MN
5889,48.19696370000001,-106.6367127,4,4,4,0,4,4,7179,7180,Glasgow Mont,Glasgow,,Montana,town,Glasgow MT
5890,48.20181,13.20907,1,1,1,0,1,1,1092,1093,Mastt Austria,Matt,,Austria,town,Matt Austria
5891,48.2072096,-97.3422986,51,51,51,0,51,51,4607,4608,Ardoek N Dak,Ardoch,,North Dakota,town,Ardoch ND
5892,48.2081743,16.3738189,164,164,110,7,163,164,381,382,Bohovar Hungary,Bohovar,Galicia,Hungary,plus,AustriaHungary
5893,48.2130558,-98.3570499,17,17,17,0,17,17,1471,1472,Brocket N Dak,Brocket,,North Dakota,town,Brocket ND
5894,48.2152672,-97.4681352,23,23,23,0,23,23,719,720,Forest River N Dak,Forest River,,North Dakota,town,Forest River ND
5895,48.2174934,-97.7906451,7,7,7,0,7,7,5729,5730,Fordville D T,Fordville,,Dakota Territory,town,Fordville ND
5896,48.2185838,-96.4058804,2,2,2,0,2,2,9548,9549,Viking Minn,Viking,,Minnesota,town,Viking MN
5897,48.2203445,16.09988,1,1,1,0,1,1,18799,18800,Vienne AustriaHungary,Vienna,,AustriaHungary,town,Vienna Austria
5898,48.2216649,-99.1065305,17,17,17,0,17,17,4545,4546,Penn N Dak,Penn,,North Dakota,town,Penn Coulee ND
5899,48.23296679999999,-101.2922906,70,70,70,0,70,70,351,352,Minot N Dak,Minot,,North Dakota,town,Minot ND
5900,48.2334943,-97.1999554,3,3,3,0,3,3,5195,5196,Walshville N Dak,Walshville,,North Dakota,town,Walshville ND
5901,48.2337009,-100.6359797,4,4,1,3,4,4,1049,1050,McHenry N Dak,Pendroy,McHenry,North Dakota,county,McHenry County ND
5902,48.2383254,-97.6750855,29,29,29,0,29,29,3145,3146,Conway N Dak,Conway,,North Dakota,town,Conway ND
5903,48.24081210000001,-97.8508019,1,1,1,0,1,1,462,463,Medford N Dak,Medford,,North Dakota,town,Medford ND
5904,48.2454414,6.4162772000000015,2,2,0,2,2,2,9928,9929,Alsace Germany,,AlsaceLorraine,Germany,county,Alsace France
5905,48.2462249,-100.9891591,2,2,2,0,2,2,1100,1101,Norwich N Dak,Norwich,,North Dakota,town,Norwich ND
5906,48.2471519,-96.2867741,1,1,1,0,1,1,17474,17475,New Solum Minn,New Solum Township,,Minnesota,town,New Solum Township MN
5907,48.257788,-101.5634984,2,2,2,0,2,2,29186,29187,Des Lacs N Dak,Des Lacs,,North Dakota,town,Des Lacs ND
5908,48.2677874,-100.8426438,2,2,2,0,2,2,1209,1210,Granville N Dak,Granville,,North Dakota,town,Granville ND
5909,48.26863286,-98.72029372,3,3,0,3,3,3,2486,2487,Ramsey county N Dak,,Ramsey,North Dakota,county,Ramsey County ND
5910,48.2691655,-99.1901343,44,44,44,0,44,44,179,180,Churchs Ferry N Dak,Churchs Ferry,,North Dakota,town,Churchs Ferry ND
5911,48.276577,-116.553465,1,1,1,0,1,1,5271,5272,Sandpoint Idaho,Sandpoint,,Idaho,town,Sandpoint ID
5912,48.2784323,-101.4324892,4,4,4,0,4,4,1986,1987,Burlington N Dak,Burlington,,North Dakota,town,Burlington ND
5913,48.2823698,-98.8785007,12,12,12,0,12,12,264,265,Webster N Dak,Webster,,North Dakota,town,Webster ND
5914,48.2825117,-101.6437753,1,1,1,0,1,1,30533,30534,Lone Tree N Dak,Lonetree,,North Dakota,town,Lonetree ND
5915,48.2888882,-99.4376352,36,36,36,0,36,36,1055,1056,Leeds N Dak,Leeds,,North Dakota,town,Leeds ND
5916,48.2916547,-97.3714652,82,82,82,0,82,82,120,121,Minto N Dak,Minto,,North Dakota,town,Minto ND
5917,48.2919155,-96.1925311,5,5,5,0,5,5,12086,12087,Holt Minn,Holt,,Minnesota,town,Holt MN
5918,48.2923644,8.2149156,1,1,1,0,1,1,28489,28490,Wolfach Germany,Wolfach,,Germany,town,Wolfach Germany
5919,48.2960972,-97.254795,31,31,31,0,31,31,121,122,Warsaw N Dak,Warsaw,,North Dakota,town,Warsaw ND
5920,48.2963763,-97.4728663,10,10,10,0,10,10,3741,3742,Voss N Dak,Voss,,North Dakota,town,Voss ND
5921,48.3,25.933333,2,2,2,0,2,2,1943,1944,Charnowitz Austria,Chernowitz,,Austria,town,Chernivtsi Ukraine
5922,48.30625429999999,-99.0052842,1,1,1,0,1,1,30693,30694,De Groat N Dak,De Groat,,North Dakota,town,De Groat ND
5923,48.308067,-101.5090534,2,2,2,0,2,2,13930,13931,Tasker N Dak,Tasker Coulee Kirkelie,,North Dakota,town,Tasker Coulee Kirkelie ND
5924,48.3108259,-97.7092537,27,27,27,0,27,27,619,620,Pisek N Dak,Pisek,,North Dakota,town,Pisek ND
5925,48.3113724,-97.1081259,1,1,1,0,1,1,20544,20545,Big Woods Minn,Big Woods,,Minnesota,town,Big Woods MN
